usertype,zip_code_start,borough_start,neighborhood_start,zip_code_end,borough_end,neighborhood_end,start_day,stop_day,day_mean_temperature,day_mean_wind_speed,day_total_precipitation,trip_minutes,trip_count
Subscriber,10075,Manhattan,Upper East Side,10028,Manhattan,Upper East Side,2020-12-04,2020-12-04,46.4,4.5,0.0,0.0,12
Subscriber,10024,Manhattan,Upper West Side,10021,Manhattan,Upper East Side,2020-10-21,2020-10-21,65.0,2.8,0.0,30.0,1
Subscriber,10028,Manhattan,Upper East Side,10021,Manhattan,Upper East Side,2020-12-04,2020-12-04,46.4,4.5,0.0,20.0,2
Subscriber,10023,Manhattan,Upper West Side,11101,Queens,Northwest Queens,2020-10-10,2020-10-10,58.9,2.6,0.89,30.0,4
Customer,11206,Brooklyn,Bushwick and Williamsburg,11206,Brooklyn,Bushwick and Williamsburg,2020-10-31,2020-10-31,49.1,3.0,0.0,10.0,2
Subscriber,10024,Manhattan,Upper West Side,10028,Manhattan,Upper East Side,2020-09-21,2020-09-21,65.8,7.4,0.0,20.0,3
Subscriber,10065,Manhattan,Upper East Side,10028,Manhattan,Upper East Side,2020-11-09,2020-11-09,51.1,1.7,0.0,20.0,3
Subscriber,10017,Manhattan,Gramercy Park and Murray Hill,10028,Manhattan,Upper East Side,2020-09-17,2020-09-17,77.0,1.3,0.0,20.0,13
Subscriber,10020,Manhattan,Chelsea and Clinton,10020,Manhattan,Chelsea and Clinton,2019-05-22,2019-05-22,62.7,2.5,0.22,30.0,1
Subscriber,11206,Brooklyn,Bushwick and Williamsburg,11206,Brooklyn,Bushwick and Williamsburg,2020-12-18,2020-12-18,51.9,5.5,1.21,10.0,14
Customer,11238,Brooklyn,Central Brooklyn,11206,Brooklyn,Bushwick and Williamsburg,2020-08-29,2020-08-29,75.7,1.2,0.0,20.0,3
Subscriber,10036,Manhattan,Chelsea and Clinton,10075,Manhattan,Upper East Side,2020-12-18,2020-12-18,51.9,5.5,1.21,20.0,4
Subscriber,10075,Manhattan,Upper East Side,10021,Manhattan,Upper East Side,2020-11-16,2020-11-16,58.1,2.9,0.0,20.0,1
Customer,10028,Manhattan,Upper East Side,10021,Manhattan,Upper East Side,2020-09-23,2020-09-23,68.4,3.3,0.0,10.0,2
Customer,10021,Manhattan,Upper East Side,10028,Manhattan,Upper East Side,2020-10-06,2020-10-06,61.2,1.5,0.0,40.0,3
Customer,10011,Manhattan,Chelsea and Clinton,11206,Brooklyn,Bushwick and Williamsburg,2020-11-10,2020-11-11,55.0,6.7,0.0,1790.0,1
Customer,10023,Manhattan,Upper West Side,10021,Manhattan,Upper East Side,2020-10-01,2020-10-01,59.8,7.6,0.04,10.0,2
Customer,10022,Manhattan,Gramercy Park and Murray Hill,11101,Queens,Northwest Queens,2020-08-16,2020-08-16,82.8,1.2,0.0,30.0,1
Subscriber,10018,Manhattan,Chelsea and Clinton,11101,Queens,Northwest Queens,2020-10-07,2020-10-07,64.9,2.5,0.0,20.0,3
Customer,10019,Manhattan,Chelsea and Clinton,10020,Manhattan,Chelsea and Clinton,2019-06-21,2019-06-21,70.4,4.7,0.0,20.0,4
Subscriber,10002,Manhattan,Lower East Side,10028,Manhattan,Upper East Side,2020-10-10,2020-10-10,58.9,2.6,0.89,40.0,3
Subscriber,10012,Manhattan,Greenwich Village and Soho,10028,Manhattan,Upper East Side,2020-12-02,2020-12-02,49.3,2.9,0.21,40.0,1
Subscriber,10023,Manhattan,Upper West Side,10028,Manhattan,Upper East Side,2020-10-29,2020-10-29,67.2,5.7,1.44,50.0,1
Subscriber,10024,Manhattan,Upper West Side,10028,Manhattan,Upper East Side,2020-10-29,2020-10-29,67.2,5.7,1.44,20.0,11
Customer,10128,Manhattan,Upper East Side,10028,Manhattan,Upper East Side,2020-10-17,2020-10-17,51.6,5.0,0.0,20.0,1
Subscriber,10016,Manhattan,Gramercy Park and Murray Hill,10028,Manhattan,Upper East Side,2020-09-20,2020-09-20,73.9,6.3,0.0,30.0,2
Customer,10024,Manhattan,Upper West Side,10028,Manhattan,Upper East Side,2020-10-15,2020-10-15,58.2,3.5,0.0,10.0,2
